"Reference","Value","Datasheet","Footprint","Qty","DNP"
"BT1","3.7V 1500mAh LiPo","~","SM02B-SRSS-TB_LF__SN_:SM02B-SRSS-TB_LF__SN_","1",""
"C1,C2,C4,C8,C9,C10,C11,C12,C13,C14,C16,C17","10uF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","12",""
"C3,C5,C7,C15","0.1uF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","4",""
"C6","2.2pF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"CR1","B5819W-TP","B5819W-TP","B5819SW:SDO_SOD-123_MCC-M","1",""
"D1,D2,D3","LED","~","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","3",""
"J1","UJC-V-G-SMT-P6-TR","","UJC_V_G_SMT_P6_TR:SAMESKY_UJC-V-G-SMT-P6-TR","1",""
"J2","B8B-PH-K-S_LF__SN_","","B8B-PH-K-S_LF__SN_:JST_B8B-PH-K-S_LF__SN_","1",""
"L1","1.2 uH","~","XFL4020-102MEC:IND_XFL4020-102MEC","1",""
"Q1","PMOS","","IRLML6402TRPBF:SOT95P237X112-3N","1",""
"R1,R2","5.1K","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"R3,R6","100K","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"R4,R5","1K","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"R7","360K","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R8","64.9K","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R9","1.5K","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R10,R12","10K","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"R11","470","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R13,R14","4.7K","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"SW1,SW2,SW3,SW4","DB301V-3.5-2P-GN-S","~","1984617:PHOENIX_1984617","4",""
"TP1,TP2,TP3,TP4,TP5","TestPoint","~","TestPoint:TestPoint_Pad_D2.0mm","5",""
"U1","TPS63060","http://www.ti.com/lit/ds/symlink/tps63060.pdf","TPS63060DSCT:CONV_TPS63060DSCT","1",""
"U2","TP4056","","TP4056:SOP127P600X175-9N","1",""
"U3","MAX17048G_T10","","MAX17048G_T10:SON50P200X200X80-9N","1",""
"U4","DS3231 Breakout","","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","1",""
"U5","MicroSD Breakout","","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","1",""
"U6","ESP-WROOM-32 Dev Module","","ESP32-DEVKIT-V1:MODULE_ESP32_DEVKIT_V1","1",""
